Race Name,Date,Location,Distance,Latitude,Longitude,OpenCage Note,Formatted,City/Town,Country,Country Code,Confidence Score,State,State Code,Continent
15th Glasgow to Edinburgh Ultra,"Oct 11, 2025",Glasgow (GBR),57mi,55.86515,-4.25763,ok,"Glasgow, Glasgow City, Scotland, United Kingdom",,United Kingdom,gb,4,Scotland,SCT,Europe
Bennachie Ultra Marathon,"Oct 11, 2025",Bennachie (GBR),31mi,57.28333,-2.56667,ok,"Aberdeenshire, Scotland, United Kingdom",,United Kingdom,gb,9,Scotland,SCT,Europe
2nd Sea to Summit Ben Nevis,"Oct 11, 2025",Inchree (GBR),29mi,,,ok,,,,,,,,
4. DieSPECKer LaufSPECKtakel 68km,"Oct 11, 2025",Diespeck (GER),68km,49.6,10.63333,ok,"Diespeck, Bavaria, Germany",,Germany,de,7,Bavaria,BY,Europe
3. Eversburger Gewässer Ultramarathon,"Oct 11, 2025",Osnabrück (GER),45.3km,52.27264,8.0498,ok,"Osnabrück, Lower Saxony, Germany",,Germany,de,6,Lower Saxony,NI,Europe
4. DieSPECKer LaufSPECKtakel 47km,"Oct 11, 2025",Diespeck (GER),47km,49.6,10.63333,ok,"Diespeck, Bavaria, Germany",,Germany,de,7,Bavaria,BY,Europe
15^ Ultra Trail Lago d'Orta (UTLO) 55 Km,"Oct 11, 2025",Omegna (ITA),54km,45.88002,8.40665,ok,"Omegna, Verbania, Italy",,Italy,it,7,Piedmont,,Europe
24th Sörmland Ultra Marathon,"Oct 11, 2025",Stockholm (SWE),50km,59.3587062,17.8736682,ok,"Swe Bilar, Bergslagsvägen, 162 65 Stockholm Municipality, Sweden",,Sweden,se,9,,,Europe
XV. Trail Peñalara 60K,"Oct 12, 2025",Miraflores de la Sierra (ESP),61km,40.8155,-3.76213,ok,"Miraflores de la Sierra, Madrid, Spain",,Spain,es,7,Madrid,,Europe
North Chilterns 50km,"Oct 12, 2025",Putteridge Bury (GBR),50km,51.9104,-0.37364,ok,"Putteridge Bury, North Hertfordshire District, Hertfordshire, England, United Kingdom",,United Kingdom,gb,9,England,ENG,Europe
8° Valdambra Ultra Trail,"Oct 12, 2025",B.Agnano Bucine (AR) (ITA),51km,43.4363251,11.6476077,ok,"52019 Bucine AR, Italy",,Italy,it,7,Tuscany,,Europe
Lon Las Cymru Ultra,"Oct 16, 2025",Holyhead (GBR),250mi,53.30621,-4.63211,ok,"Holyhead, Anglesey, Wales, United Kingdom",,United Kingdom,gb,7,Wales,WLS,Europe
12ème Festival des Templiers - L'Intégrale des Causses,"Oct 17, 2025",Millau (FRA),62.6km,44.1,3.08333,ok,"Millau, Aveyron, France",,France,fr,7,Occitanie,OCC,Europe
18ème Festival des Templiers - Endurance Trail,"Oct 17, 2025",Millau (FRA),100km,44.1,3.08333,ok,"Millau, Aveyron, France",,France,fr,7,Occitanie,OCC,Europe
8ème Festival des Templiers - La Boffi Fifty,"Oct 18, 2025",Millau (FRA),48.5km,44.1,3.08333,ok,"Millau, Aveyron, France",,France,fr,7,Occitanie,OCC,Europe
1st Dales Dazzler 51mi,"Oct 18, 2025",Skipton (GBR),51mi,53.96144,-2.01676,ok,"Craven District, Skipton, North Yorkshire, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
5th High Peak 100km Ultra,"Oct 18, 2025",Whaley Bridge (GBR),100km,53.33031,-1.9826,ok,"High Peak District, Whaley Bridge, Derbyshire, England, United Kingdom",,United Kingdom,gb,8,England,ENG,Europe
14th Autumn 100 Mile Race,"Oct 18, 2025",Streatley (GBR),100mi,51.94628,-0.44374,ok,"Streatley, Central Bedfordshire, England, United Kingdom",,United Kingdom,gb,9,England,ENG,Europe
41st Gatliff 50 km Marathon,"Oct 18, 2025","Edenbridge, Kent (GBR)",50km,51.19172,0.06729,ok,"Edenbridge, Kent, England, United Kingdom",,United Kingdom,gb,8,England,ENG,Europe
1st Dales Dazzler 34mi,"Oct 18, 2025",Skipton (GBR),34mi,53.96144,-2.01676,ok,"Craven District, Skipton, North Yorkshire, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
3rd High Peak 70km Ultra,"Oct 18, 2025",Whaley Bridge (GBR),70km,53.33031,-1.9826,ok,"High Peak District, Whaley Bridge, Derbyshire, England, United Kingdom",,United Kingdom,gb,8,England,ENG,Europe
7. O-SEE Ultra Trail 75km,"Oct 18, 2025",Oybin (GER),75km,50.84105,14.74124,ok,"Kurort Oybin, Saxony, Germany",,Germany,de,8,Saxony,SN,Europe
7. O-SEE Ultra Trail 50km,"Oct 18, 2025",Oybin (GER),50km,50.84105,14.74124,ok,"Kurort Oybin, Saxony, Germany",,Germany,de,8,Saxony,SN,Europe
O-SEE Ultra Trail 100km,"Oct 18, 2025",Oybin (GER),100km,50.84105,14.74124,ok,"Kurort Oybin, Saxony, Germany",,Germany,de,8,Saxony,SN,Europe
2 Blaulichtlauf der Freiwilligen Feuerwehr Schwaan,"Oct 18, 2025",Schwaan (GER),51km,53.94047,12.10715,ok,"Schwaan, Mecklenburg-Western Pomerania, Germany",,Germany,de,7,Mecklenburg-Western Pomerania,,Europe
12th Cappadocia Ultra-Trail - CUT,"Oct 18, 2025",Urgup (TUR),119km,38.6296,34.91199,ok,"Urgub, Nevşehir, Turkey",,Turkey,tr,6,Nevşehir,,Asia
12th Cappadocia Medium Trail,"Oct 18, 2025",Urgup (TUR),63.6km,38.6296,34.91199,ok,"Urgub, Nevşehir, Turkey",,Turkey,tr,6,Nevşehir,,Asia
30ème Festival des Templiers - Le Grand Trail des Templiers,"Oct 19, 2025",Millau (FRA),80.4km,44.1,3.08333,ok,"Millau, Aveyron, France",,France,fr,7,Occitanie,OCC,Europe
Wild Deer 53k Ultra Trail Run,"Oct 19, 2025",Consett (GBR),53km,54.85404,-1.8316,ok,"Healeyfield, Consett, Durham, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
Bath & Bristol Railway 50k,"Oct 19, 2025",Bath (GBR),50km,51.3751,-2.36172,ok,"Bath, Bath and North East Somerset, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
Brenig Way 50k Trail,"Oct 19, 2025",Corwen (GBR),50km,52.98005,-3.37736,ok,"Corwen, Denbighshire, Wales, United Kingdom",,United Kingdom,gb,6,Wales,WLS,Europe
Schönbuchlauf Jubiläums-Ultra,"Oct 19, 2025",Hildrizhausen (GER),50km,48.62423,8.96605,ok,"Hildrizhausen, Baden-Württemberg, Germany",,Germany,de,8,Baden-Württemberg,BW,Europe
12. Süwag Urmensch Ultralauf,"Oct 19, 2025",Steinheim (GER),50km,51.87066,9.09136,ok,"Steinheim, North Rhine-Westphalia, Germany",,Germany,de,7,North Rhine-Westphalia,NW,Europe
16. Naabtal 50 Ultralauf,"Oct 19, 2025",Duggendorf (GER),50km,49.11667,11.91667,ok,"Duggendorf, Bavaria, Germany",,Germany,de,8,Bavaria,BY,Europe
9ème Grand Raid des Cathares,"Oct 23, 2025",Carcassonne (FRA),161km,43.21667,2.35,ok,"Carcassonne, Aude, France",,France,fr,7,Occitanie,OCC,Europe
9ème Raid des Bogomiles,"Oct 24, 2025",Carcassonne (FRA),101km,43.21667,2.35,ok,"Carcassonne, Aude, France",,France,fr,7,Occitanie,OCC,Europe
6ème Trail des Hérétiques,"Oct 25, 2025",Carcassonne (FRA),63km,43.21667,2.35,ok,"Carcassonne, Aude, France",,France,fr,7,Occitanie,OCC,Europe
Beachy Head Ultra,"Oct 25, 2025",Eastbourne (GBR),52.6km,50.76871,0.28453,ok,"Eastbourne District, Eastbourne, East Sussex, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
12th Jedburgh Three Peaks Ultramarathon,"Oct 25, 2025",Jedburgh (GBR),38mi,55.47997,-2.552,ok,"Jedburgh, Scottish Borders, Scotland, United Kingdom",,United Kingdom,gb,8,Scotland,SCT,Europe
18th Thames Trail Ultra,"Oct 25, 2025",Iffley (GBR),48mi,51.73001,-1.23845,ok,"Oxford, Iffley, Oxfordshire, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
Endurancelife North York Moors,"Oct 25, 2025",Ravenscar (GBR),34mi,54.39814,-0.48903,ok,"Scarborough District, Ravenscar, North Yorkshire, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
35. Alb Marathon Schwäbisch Gmünd,"Oct 25, 2025",Schwäbisch Gmünd (GER),50km,48.79947,9.79809,ok,"Schwäbisch Gmünd, Baden-Württemberg, Germany",,Germany,de,7,Baden-Württemberg,BW,Europe
B.U.T.10x10 Burgbernheim Ultra Trail,"Oct 25, 2025",Burgbernheim (GER),100km,49.45103,10.32385,ok,"Burgbernheim, Bavaria, Germany",,Germany,de,7,Bavaria,BY,Europe
B.U.T.5x10 Burgbernheim Ultra Trail,"Oct 25, 2025",Burgbernheim (GER),50km,49.45103,10.32385,ok,"Burgbernheim, Bavaria, Germany",,Germany,de,7,Bavaria,BY,Europe
Szádvár Trail,"Oct 25, 2025",Szádvár (HUN),69km,,,ok,,,,,,,,
4. Gaasterland Trail,"Oct 25, 2025",Harich (NED),50km,52.9023,5.564,ok,"Harich, Gaasterlân-Sleat, Netherlands",,Netherlands,nl,9,Friesland,FR,Europe
7. Fethiye Ultra Marathon,"Oct 25, 2025",Fethiye (TUR),50km,36.62167,29.11639,ok,"Fethiye, Turkey",,Turkey,tr,5,Muğla,,Asia
4 De Wase (Ultra) Marathon,"Oct 26, 2025",Sinaai (BEL),58km,51.15789,4.04087,ok,"Sinaai, Oost-Vlaanderen, Belgium",,Belgium,be,7,Flanders,,Europe
13th Stort 30,"Oct 26, 2025",Bishop's Stortford (GBR),30mi,51.87283,0.15826,ok,"East Hertfordshire District, Hertfordshire, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
23. Röntgenlauf,"Oct 26, 2025",Remscheid (GER),63.3km,51.17983,7.1925,ok,"Remscheid, North Rhine-Westphalia, Germany",,Germany,de,6,North Rhine-Westphalia,NW,Europe
6. Rundweg Winterthur Ultra,"Oct 26, 2025",Seuzach (SUI),59km,47.5356,8.73209,ok,"Seuzach Dorf, Bezirk Winterthur, Switzerland",,Switzerland,ch,8,Zurich,ZH,Europe
Chiltern Ridge Winter 50k,"Nov 01, 2025",Berkhamsted (GBR),50km,51.7604,-0.56528,ok,"Berkhamsted, Berkhamstead, Hertfordshire, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
13. Sollingquerung 50 km,"Nov 01, 2025",Bad Karlshafen (GER),50km,51.64263,9.45477,ok,"Bad Karlshafen, Lower Saxony, Germany",,Germany,de,8,Lower Saxony,NI,Europe
3. Novemberlauf,"Nov 01, 2025",Freudenstadt-Grüntal (GER),50km,48.47986,8.46784,ok,"Grüntal, Baden-Württemberg, Germany",,Germany,de,9,Baden-Württemberg,BW,Europe
Graf Engelbert von Berg-Ultramarathon - Engelberts Himmelfahrt,"Nov 07, 2025",Soest (GER),173km,52.17333,5.29167,ok,"Soest, Netherlands",,Netherlands,nl,7,Utrecht,UT,Europe
Graf Engelbert von Berg-Ultramarathon - Geleit der Gebeine,"Nov 07, 2025",Gevelsberg (GER),82km,51.31971,7.3392,ok,"Gevelsberg, North Rhine-Westphalia, Germany",,Germany,de,7,North Rhine-Westphalia,NW,Europe
5° Grand Trail des Lacs et Châteaux Winter,"Nov 08, 2025",Ovifat (BEL),66km,50.46652,6.10728,ok,"Ovifat, Liège, Belgium",,Belgium,be,8,Wallonia,,Europe
Tollymore Ultra Trail Marathon,"Nov 08, 2025",Newcastle (GBR),40mi,54.97328,-1.61396,ok,"Newcastle upon Tyne, England, United Kingdom",,United Kingdom,gb,6,England,ENG,Europe
Race to Remember,"Nov 08, 2025",Aldershot (GBR),76km,51.24827,-0.76389,ok,"Rushmoor District, Aldershot, Hampshire, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
Endurancelife Gower Ultra,"Nov 08, 2025",Oxwich Bay (GBR),34mi,51.55611,-4.11944,ok,"City and County of Swansea, Wales, United Kingdom",,United Kingdom,gb,9,Wales,WLS,Europe
The Beacons Ultra,"Nov 08, 2025",Talybont-on-Usk (GBR),50mi,51.86892,-3.33275,ok,"Talybont-on-Usk, Powys, Wales, United Kingdom",,United Kingdom,gb,7,Wales,WLS,Europe
Graf Engelbert von Berg-Ultramarathon - Von der Wiege zur Bahre,"Nov 08, 2025",Remscheid (GER),50km,51.17983,7.1925,ok,"Remscheid, North Rhine-Westphalia, Germany",,Germany,de,6,North Rhine-Westphalia,NW,Europe
5. EicUt 65,"Nov 08, 2025",Heilbad Heiligenstadt (GER),65km,51.37819,10.13744,ok,"Heilbad Heiligenstadt, Thuringia, Germany",,Germany,de,7,Thuringia,TH,Europe
2. Krabat 100,"Nov 08, 2025",Zeißig/Hoyerswerda (GER),102km,51.43787,14.23549,ok,"Hoyerswerda, Saxony, Germany",,Germany,de,7,Saxony,SN,Europe
7. Lac de Neuchatel 94 km,"Nov 08, 2025",Neuenburg (SUI),94km,46.99087,6.79767,ok,"Neuchâtel, Switzerland",,Switzerland,ch,2,Neuchâtel,NE,Europe
9th Wendover Woods 50 Mile,"Nov 15, 2025",Aylesbury (GBR),50mi,51.81665,-0.81458,ok,"Aylesbury Vale, Aylesbury, Buckinghamshire, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
9th Wharfedale Skyline Ultra 35mi,"Nov 15, 2025",Otley (GBR),35mi,41.45888,-93.03576,ok,"Otley, Iowa, United States of America",,United States of America,us,9,Iowa,IA,North America
Winter Wirral Ultra,"Nov 15, 2025",Eastham (GBR),37mi,41.83011,-69.97391,ok,"Eastham, Massachusetts, United States of America",,United States of America,us,7,Massachusetts,MA,North America
3. Georgsmarienhütter 0 - Ultra-Trail,"Nov 15, 2025",Osnabrück-Sutthausen (GER),47.7km,,,ok,,,,,,,,
Borecka Lekuk Trail,"Nov 21, 2025",Lekuk Maly (POL),71km,54.0545,22.14312,ok,"Łękuk Mały, Powiat giżycki, Poland",,Poland,pl,9,Warmian-Masurian Voivodeship,28,Europe
9th Peak District South & North Ultra 93km,"Nov 22, 2025",Ashbourne (GBR),93km,53.51163,-6.39821,ok,"Ashbourne, County Meath, Ireland",,Ireland,ie,7,Leinster,L,Europe
Hardwolds 80,"Nov 22, 2025",Hessle (GBR),80mi,53.72454,-0.43842,ok,"Hessle, East Yorkshire, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
10th White Peak Trails 50km,"Nov 22, 2025",Ashbourne (GBR),50km,53.51163,-6.39821,ok,"Ashbourne, County Meath, Ireland",,Ireland,ie,7,Leinster,L,Europe
Signes Trail - Traces des Rois,"Nov 23, 2025",Signes (FRA),47km,43.2901,5.86232,ok,"Signes, Var, France",,France,fr,9,Provence-Alpes-Côte d'Azur,PAC,Europe
2. Im Schatten der Hünenburg - Ultramarathon,"Nov 29, 2025",Bielefeld (GER),46km,52.03333,8.53333,ok,"Bielefeld, North Rhine-Westphalia, Germany",,Germany,de,4,North Rhine-Westphalia,NW,Europe
"15. KoBoLT, 140 km Rheinsteig Koblenz-Bonn","Nov 29, 2025",Koblenz (GER),140km,50.35357,7.57883,ok,"Koblenz, Rheinland-Pfalz, Germany",,Germany,de,6,Rheinland-Pfalz,RP,Europe
"15. kleiner KoBoLT, 99 km Rheinsteig Rengsdorf-Bonn","Nov 29, 2025",Rengsdorf (GER),99km,50.5,7.5,ok,"Rengsdorf, Rheinland-Pfalz, Germany",,Germany,de,8,Rheinland-Pfalz,RP,Europe
8. Auge um Auge KoBoLT,"Nov 30, 2025",Bonn (GER),73km,42.9457529,-0.3628001,ok,"64440 Eaux-Bonnes, France",,France,fr,8,Nouvelle-Aquitaine,NAQ,Europe
Endurancelife Dorset Ultra,"Dec 06, 2025",Tyneham (GBR),37mi,50.62255,-2.16845,ok,"Purbeck District, Tyneham, Dorset, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
32. Bremer Bergmarathon mit Höhenmetersammlung,"Dec 06, 2025",Bremen (GER),51km,53.07516,8.80777,ok,"Bremen, Germany",,Germany,de,1,Bremen,HB,Europe
Conegliano Valdobbiadene Prosecco Ultra Trail,"Dec 06, 2025",Vidor (TV) (ITA),51km,45.86659,12.04517,ok,"Vidor, Treviso, Italy",,Italy,it,7,Veneto,VEN,Europe
5th Shale Trail Run,"Dec 07, 2025",Winchburgh (GBR),49km,,,ok,,,,,,,,
3rd Winter Downs 200,"Dec 10, 2025",Dorking (GBR),200mi,51.23228,-0.3338,ok,"Mole Valley, Dorking, Surrey, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
2nd Winter Downs 100,"Dec 10, 2025",Dorking (GBR),100mi,51.23228,-0.3338,ok,"Mole Valley, Dorking, Surrey, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
9 The Bello Gallico Trail 200km,"Dec 12, 2025",Oud-Heverlee (BEL),200km,50.83522,4.66421,ok,"Oud-Heverlee, Vlaams-Brabant, Belgium",,Belgium,be,7,Flanders,,Europe
9 The Bello Gallico Trail 100km,"Dec 13, 2025",Oud-Heverlee (BEL),100km,50.83522,4.66421,ok,"Oud-Heverlee, Vlaams-Brabant, Belgium",,Belgium,be,7,Flanders,,Europe
6th Christmas Cracker Ultra,"Dec 13, 2025",Otley (GBR),31mi,41.45888,-93.03576,ok,"Otley, Iowa, United States of America",,United States of America,us,9,Iowa,IA,North America
4. X-MAS Trail,"Dec 14, 2025",Weiskirchen (GER),46km,49.55,6.81667,ok,"Weiskirchen, Saarland, Germany",,Germany,de,7,Saarland,SL,Europe
Winter Wanderlust Ultra,"Dec 21, 2025",Detling (GBR),50km,51.29459,0.56987,ok,"Maidstone, Detling, Kent, England, United Kingdom",,United Kingdom,gb,8,England,ENG,Europe
8. Grüntal-Winterultra,"Dec 28, 2025",Freudenstadt-Grüntal (GER),50km,48.47986,8.46784,ok,"Grüntal, Baden-Württemberg, Germany",,Germany,de,9,Baden-Württemberg,BW,Europe
7. Lengericher Ultratrail am Neujahrstag,"Jan 01, 2026",Lengerich (GER),46km,52.18661,7.86043,ok,"Lengerich, North Rhine-Westphalia, Germany",,Germany,de,7,North Rhine-Westphalia,NW,Europe
10. Suedkreis Meilen Marathon,"Jan 03, 2026",Wendhausen (GER),68km,52.31667,10.63446,ok,"Wendhausen, Lower Saxony, Germany",,Germany,de,9,Lower Saxony,NI,Europe
18th Country to Capital,"Jan 10, 2026",Wendover (GBR),43mi,51.76301,-0.74149,ok,"Aylesbury Vale, Wendover, Buckinghamshire, England, United Kingdom",,United Kingdom,gb,8,England,ENG,Europe
Winter Run to the Castle Ultra,"Jan 10, 2026",Aberdyfi (GBR),42mi,52.54443,-4.04544,ok,"Aberdyfi, Gwynedd, Wales, United Kingdom",,United Kingdom,gb,7,Wales,WLS,Europe
Endurancelife North Cornwall,"Jan 10, 2026",Polzeath (GBR),31mi,50.56956,-4.91759,ok,"St. Minver Lowlands, Polzeath, Cornwall, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
Trail Hivernal Les Mathes - La Palmyre,"Jan 11, 2026",Les Mathes (FRA),50.0km,45.7139,-1.15497,ok,"Les Mathes, Charente-Maritime, France",,France,fr,7,Nouvelle-Aquitaine,NAQ,Europe
8. G1 Grüngürtel Ultra Köln,"Jan 11, 2026",Köln (GER),63km,50.93333,6.95,ok,"Cologne, North Rhine-Westphalia, Germany",,Germany,de,4,North Rhine-Westphalia,NW,Europe
4th Terra de Gigantes,"Jan 15, 2026",Seia (POR),303km,40.4151,-7.70859,ok,"Seia, Seia Municipality, Portugal",,Portugal,pt,7,Distrito da Guarda,,Europe
Sandsjöbacka Trail - 180K,"Jan 16, 2026",Hisings Kärra (SWE),185km,,,ok,,,,,,,,
Sandsjöbacka Trail 90,"Jan 17, 2026",Hisings Kärra (SWE),96km,,,ok,,,,,,,,
Sandsjöbacka Trail 60,"Jan 17, 2026",Hisings Kärra (SWE),60km,,,ok,,,,,,,,
Endurancelife South Devon Ultra,"Jan 24, 2026",Kingsbridge (GBR),33.8mi,50.28451,-3.77638,ok,"South Hams District, Kingsbridge, Devon, England, United Kingdom",,United Kingdom,gb,8,England,ENG,Europe
Pilgrim's Challenge (Day 1 Only),"Feb 07, 2026",Farnham (GBR),33mi,51.21433,-0.79587,ok,"Waverley District, Farnham, Surrey, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
Pilgrim's Challenge (Day 2 Only),"Feb 08, 2026",Redhill (GBR),33mi,51.24048,-0.17044,ok,"Reigate and Banstead District, Redhill, Surrey, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
10 Legends Trail 350,"Feb 19, 2026",Bernardfagne (BEL),350km,,,ok,,,,,,,,
Endurancelife Northumberland Ultra,"Feb 21, 2026",Bamburgh Castle (GBR),35mi,55.60916,-1.71109,ok,"Bamburgh Castle, Northumberland, England, United Kingdom",,United Kingdom,gb,9,England,ENG,Europe
2. PaUL,"Feb 21, 2026",Bad Muskau (GER),55km,51.55051,14.7124,ok,"Bad Muskau, Saxony, Germany",,Germany,de,7,Saxony,SN,Europe
4^ Andersen MarathonTrail,"Feb 22, 2026",Sestri Levante (ITA),46km,44.27317,9.39683,ok,"Sestri Levante, Genova, Italy",,Italy,it,7,Liguria,LIG,Europe
John Muir Way 50km Ultra,"Mar 07, 2026",Port Seton (GBR),50km,,,ok,,,,,,,,
Humanity Direct Amersham Ultra,"Mar 07, 2026",Amersham (GBR),31mi,51.66667,-0.61667,ok,"Chiltern District, Amersham, Buckinghamshire, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
Endurancelife Sussex Ultra,"Mar 07, 2026",Eastbourne (GBR),32mi,50.76871,0.28453,ok,"Eastbourne District, Eastbourne, East Sussex, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
3. Eiserner Anton – Halleluja-Steinbruch Ultramarathon,"Mar 07, 2026",Steinhagen (GER),45km,52.0,8.4,ok,"Steinhagen, North Rhine-Westphalia, Germany",,Germany,de,7,North Rhine-Westphalia,NW,Europe
IV Ultra Kociol,"Mar 07, 2026",Świdwin (POL),60km,53.7701868,16.092401,ok,"DAN-POL, Koszalińska 12, 78-320 Połczyn-Zdrój, Poland",,Poland,pl,9,West Pomeranian Voivodeship,32,Europe
Morland Marathon,"Mar 08, 2026",Morland (GBR),30mi,39.34945,-100.07569,ok,"Morland, Kansas, United States of America",,United States of America,us,8,Kansas,KS,North America
11. Hoefde Ultra Trail 50km,"Mar 14, 2026",Vejle (DEN),50km,55.70927,9.5357,ok,"Vejle, Vejle Kommune, Denmark",,Denmark,dk,7,South Denmark,,Europe
7th Pennine Bridleway PB55 Ultra Time Trial,"Mar 14, 2026",Hayfield (GBR),55km,43.89052,-92.84769,ok,"Hayfield, Minnesota, United States of America",,United States of America,us,7,Minnesota,MN,North America
3rd The Tyne Bridges To Boundaries 32 Mile Ultra,"Mar 14, 2026",Newcastle Upon Tyne (GBR),32mi,54.97328,-1.61396,ok,"Newcastle upon Tyne, England, United Kingdom",,United Kingdom,gb,6,England,ENG,Europe
12e Salomon Vuurtorentrail Festival Ameland 60km,"Mar 15, 2026",Hollum Ameland (NED),60km,53.4394,5.63805,ok,"Hollum, Ameland, Netherlands",,Netherlands,nl,7,Friesland,FR,Europe
6th London Lea Valley 50 km,"Mar 21, 2026",Welwyn Garden City (GBR),50km,51.80174,-0.20691,ok,"Welwyn Hatfield, Welwyn Garden City, Hertfordshire, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
10. Schweriner Seentrail,"Mar 21, 2026",Schwerin (GER),61km,53.62937,11.41316,ok,"Schwerin, Mecklenburg-Western Pomerania, Germany",,Germany,de,6,Mecklenburg-Western Pomerania,,Europe
6th Lakes Traverse 100km,"Mar 28, 2026",St. Bees (GBR),100km,54.49183,-3.58987,ok,"Copeland District, St Bees, Cumbria, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
Northern Traverse 300km,28.03.-01.04.2026,St. Bees (GBR),300km,54.49183,-3.58987,ok,"Copeland District, St Bees, Cumbria, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
3rd Moors Traverse 80km,"Mar 29, 2026",Ingleby Cross (GBR),80km,35.29573,-90.77123,ok,"Cross County, Arkansas, United States of America",,United States of America,us,2,Arkansas,AR,North America
3rd Dales Traverse 55km,"Mar 29, 2026",Kirkby Stephen (GBR),55km,54.47229,-2.34865,ok,"Eden District, Kirkby Stephen, Cumbria, England, United Kingdom",,United Kingdom,gb,8,England,ENG,Europe
Manchester to Liverpool Ultra 50,"Apr 03, 2026",Manchester (GBR),50mi,53.48095,-2.23743,ok,"Manchester, England, United Kingdom",,United Kingdom,gb,4,England,ENG,Europe
Springtide 50k,"Apr 05, 2026",Arundel (GBR),50km,43.38259,-70.47783,ok,"Arundel, Maine, United States of America",,United States of America,us,9,Maine,ME,North America
Ultra Sierra Nevada - Ultra 100 km,"Apr 10, 2026",Granada (ESP),101km,37.18817,-3.60667,ok,"Granada, Andalusia, Spain",,Spain,es,7,Andalusia,AN,Europe
Ultra Sierra Nevada - Trail 60 Km,"Apr 11, 2026",Granada (ESP),60km,37.18817,-3.60667,ok,"Granada, Andalusia, Spain",,Spain,es,7,Andalusia,AN,Europe
Mäschder Drehwurm 12 Stundenlauf,"Apr 11, 2026",Großmaischeid (GER),"12h,6h",50.5,7.63333,ok,"Großmaischeid, Rheinland-Pfalz, Germany",,Germany,de,8,Rheinland-Pfalz,RP,Europe
14. Bilstein BiMa 57 Ultra-Trail,"Apr 12, 2026",Witzenhausen (GER),57km,51.34103,9.8554,ok,"Witzenhausen, Hesse, Germany",,Germany,de,7,Hesse,HE,Europe
17. Vértesi Terep Ultramaraton,"Apr 12, 2026",Szár (HUN),50km,47.48082,18.51387,ok,"Szár, Fejér, Hungary",,Hungary,hu,8,Fejér,,Europe
testlauf4,"Apr 14, 2026",Musterstadt (AUT),65km,,,ok,,,,,,,,
Chester Ultra 100,"Apr 18, 2026",Ellesmere Port (GBR),100mi,53.27875,-2.90134,ok,"Little Stanney, Ellesmere Port, Cheshire, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
8th Chiltern Ridge Classic 50K,"Apr 18, 2026",Berkhamsted (GBR),50km,51.7604,-0.56528,ok,"Berkhamsted, Berkhamstead, Hertfordshire, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
3. Rureifel-Trail,"Apr 18, 2026",Hürtgenwald (GER),77km,50.71667,6.36667,ok,"Hürtgenwald, North Rhine-Westphalia, Germany",,Germany,de,8,North Rhine-Westphalia,NW,Europe
6. Ultra Trail du Mont-Terrible,"Apr 18, 2026",Fontenais (SUI),106km/2stages,47.40478,7.08191,ok,"Fontenais, Porrentruy District, Switzerland",,Switzerland,ch,9,Jura,JU,Europe
Malvern Hills Ultra 38 Miles,"May 02, 2026","Admiral Rodney, Worcester (GBR)",38mi,42.26259,-71.80229,ok,"Worcester, Massachusetts, United States of America",,United States of America,us,6,Massachusetts,MA,North America
Malvern Hills Ultra 47 Miles,"May 02, 2026","Abberly, Worcester (GBR)",47mi,42.26259,-71.80229,ok,"Worcester, Massachusetts, United States of America",,United States of America,us,6,Massachusetts,MA,North America
Malvern Hills Ultra 31 Miles,"May 02, 2026","Suckley, Worcester (GBR)",31mi,52.15928,-2.40561,ok,"Malvern Hills District, Suckley, Worcestershire, England, United Kingdom",,United Kingdom,gb,9,England,ENG,Europe
Chiltern Hills 100K,"May 09, 2026",Chesham (GBR),100km,51.7,-0.6,ok,"Chiltern District, Chesham, Buckinghamshire, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
Northants Ultra 35 Shires & Spires,"May 10, 2026","Naseby, Northampton (GBR)",35mi,52.39422,-0.98927,ok,"Daventry District, Naseby, Northamptonshire, England, United Kingdom",,United Kingdom,gb,7,England,ENG,Europe
