Race Name,Date,Location,Distance,Latitude,Longitude,Formatted,Website
12th Race to the Stones 100km Non-Stop,"Jul 12, 2025",Lewknor (GBR),100km,51.67138,-0.96723,"South Oxfordshire District, Lewknor, Oxfordshire, England, United Kingdom",https://www.racetothestones.com
Taubertaltrail 64km,"Jul 12, 2025",Adelshofen (GER),64km,48.18333,11.11667,"Adelshofen, Bavaria, Germany",https://www.taubertal100.de
8. Otzberger Waldultra,"Jul 12, 2025",Otzberg (GER),45km,49.83721,8.90167,"Landkreis Darmstadt-Dieburg, Hesse, Germany",https://otzberglauf.de
Ultramarsch Black Forest x-trem 50km,"Jul 12, 2025",Gutach im Breisgau (GER),50km,48.11667,7.98333,"Gutach im Breisgau, Baden-Württemberg, Germany",https://ultramarsch.de
10. Maintal-Ultratrail,"Jul 12, 2025",Veitshöchheim (GER),64km,49.83278,9.88167,"Veitshöchheim, Bavaria, Germany",https://www.maintal-ultratrail.de
Ultramarsch Black Forest x-trem 100km,"Jul 12, 2025",Gutach im Breisgau (GER),100km,48.11667,7.98333,"Gutach im Breisgau, Baden-Württemberg, Germany",https://ultramarsch.de
24. RP-Ultralauf / 3-Türme-Lauf XL,"Jul 12, 2025",Bad Münder (GER),60km,52.19551,9.46421,"Bad Münder am Deister, Lower Saxony, Germany",https://www.lauftreff-rp.de
Rosengarten Schlern Sky Marathon,"Jul 12, 2025",Tiers (BZ) (ITA),45km,46.46817,11.52704,"Tiers, Bolzano, Italy",https://www.rosengarten-schlern-sky.it
13° Gran Trail Courmayeur 55 km,"Jul 12, 2025",Courmayeur (ITA),55km,45.79659,6.96893,"Courmayeur, Valle d'Aosta, Italy",https://montblanctrail.it
15ème Trail Verbier Saint-Bernard by UTMB - X-Traversée,"Jul 12, 2025",La Fouly (SUI),76km,45.9348,7.09843,"La Fouly, Entremont District, Switzerland",https://www.trailvsb.com
Trail des Passerelles du Monteynard,"Jul 13, 2025",La Mure (FRA),63km,44.90257,5.78659,"La Mure, Isère, France",https://trail-passerelles-monteynard.fr
Eight Stations Ultra,"Jul 13, 2025",Whitby (GBR),30mi,43.88342,-78.93287,"Whitby, Ontario, Canada",https://durhamultrarunningseries.com
XRUN222,"Jul 15, 2025",Neustadt/Weinstraße Duttweiler (GER),222km,,,,https://xrun.de
10° PT 281+ Ultramarathon,"Jul 16, 2025",Belmonte (POR),281km,40.1773999,-3.4408916,"Carretera de M-506 a Belmonte de Tajo por Chinchón y Colmenar de Oreja, 28370 Chinchón, Spain",https://pt281.com
4. Eiger Ultra Trail E250,"Jul 16, 2025",Grindelwald (SUI),250km,46.62396,8.03601,"Grindelwald, Interlaken-Oberhasli District, Switzerland",https://www.eigerultratrail.ch
Tryavna-Ultra,"Jul 18, 2025",Tryavna (BUL),153km,42.86667,25.5,"Tryavna, Bulgaria",https://www.tryavna-ultra.com
Tryavna-Ultra,"Jul 18, 2025",Tryavna (BUL),98.5km,42.86667,25.5,"Tryavna, Bulgaria",https://www.tryavna-ultra.com
Ultra Tour des 4 Massifs (UT4M) Xtrem,"Jul 18, 2025",Seyssins (FRA),175.8km,45.15513,5.67921,"Seyssins, Isère, France",https://ut4m.fr
Ultra 01 - 170km,"Jul 18, 2025",Oyonnax (FRA),170km,46.25917,5.65727,"Oyonnax, Ain, France",https://www.ultra01.fr
l'UltrAriège 170km,"Jul 18, 2025",Guzet (FRA),170km,,,,https://ultrariege.fr
Monterosa Walser Waeg by UTMB - MRT90,"Jul 18, 2025",Pont-Saint-Martin (ITA),90km,45.59536,7.79451,"Pont-Saint-Martin, Valle d'Aosta, Italy",https://monterosawalsertrail.com
Monterosa Walser Waeg by UTMB - SDV120,"Jul 18, 2025",Aosta (ITA),120km,45.73764,7.31722,"Aosta, Valle d'Aosta, Italy",https://monterosawalsertrail.com
5. Engadin Ultra Trail 102 km,"Jul 18, 2025",Samedan (SUI),102km,46.53417,9.87122,"Samedan, Maloja District, Switzerland",https://engadinultratrail.ch
8 Gletscher Ultra Trail,"Jul 19, 2025",Obergurgl (AUT),61km,46.86667,11.01667,"Obergurgl, Politischer Bezirk Imst, Austria",https://www.oetztal.com/gletscher-ultratrail
Tryavna-Ultra,"Jul 19, 2025",Tryavna (BUL),79.7km,42.86667,25.5,"Tryavna, Bulgaria",https://www.tryavna-ultra.com
Ultra 01 - 100km,"Jul 19, 2025",Valserhône (FRA),100km,,,,https://www.ultra01.fr
l'UltrAriège 100km,"Jul 19, 2025",Mercus-Garrabet (FRA),100km,42.8779,1.629,"Mercus-Garrabet, Ariège, France",https://ultrariege.fr
Ultra Trail du Grand Ballon - 63km,"Jul 19, 2025",Le Markstein (FRA),63km,47.92599,7.02926,"Le Markstein, Haut-Rhin, France",https://ultratrail-grandballon.com
Long Tour des 4 Massifs (UT4M) Master,"Jul 19, 2025",Uriage-les-Bains (FRA),97.7km,45.13786,5.82577,"Uriage-les-Bains, Isère, France",https://ut4m.fr
Ultra 01 - 65km,"Jul 19, 2025",Thoiry (FRA),65km,46.23762,5.98111,"Thoiry, Ain, France",https://www.ultra01.fr
l'UltrAriège 55km,"Jul 19, 2025",Les Monts d'Olmes (FRA),55km,,,,https://ultrariege.fr
16ème Ultra Tour du Beaufortain,"Jul 19, 2025",Queige (FRA),114km,45.71667,6.46667,"Queige, Savoy, France",https://www.ultratour-beaufortain.fr
Ultra Trail du Grand Ballon - 80km,"Jul 19, 2025",Le Markstein (FRA),80km,47.92599,7.02926,"Le Markstein, Haut-Rhin, France",https://ultratrail-grandballon.com
Ultra 01 - 45km,"Jul 19, 2025",Lélex (FRA),45km,46.30571,5.94373,"Lélex, Ain, France",https://www.ultra01.fr
6th Nidderdale Way Ultra Half Loop,"Jul 19, 2025",Ripley (GBR),28mi,42.267,-79.7106,"Ripley, New York, United States of America",https://punkpanther.co.uk
12th Run the Blades,"Jul 19, 2025",Eaglesham (GBR),50km,55.74119,-4.27459,"Eaglesham, East Renfrewshire, Scotland, United Kingdom",https://www.runtheblades.com
6th Nidderdale Way Ultra 2 Loops,"Jul 19, 2025",Ripley (GBR),111mi,42.267,-79.7106,"Ripley, New York, United States of America",https://punkpanther.co.uk
Dragon 100mi Coastal Race,"Jul 19, 2025",Rhossili Bay (GBR),100mi,51.58333,-4.3,"City and County of Swansea, Wales, United Kingdom",https://www.legendsultra.com
Castle to Castle Ultra 36,"Jul 19, 2025",Lancaster (GBR),36mi,40.03788,-76.30551,"Lancaster, Pennsylvania, United States of America",https://www.castletocastleultra.com
11th St. Cuthbert's Way 45 Mile Ultra,"Jul 19, 2025",Melrose (GBR),45mi,42.45843,-71.06616,"Melrose, Massachusetts, United States of America",https://www.trailoutlaws.com/stc45
6th Nidderdale Way Ultra One Loop,"Jul 19, 2025",Ripley (GBR),55mi,42.267,-79.7106,"Ripley, New York, United States of America",https://punkpanther.co.uk
10th Helvellyn Sky Ultra,"Jul 19, 2025",Patterdale (GBR),57km,54.53373,-2.93163,"Eden District, Patterdale, Cumbria, England, United Kingdom",https://www.lakesskyultra.uk
2nd Boudicca Way 50km Ultra,"Jul 19, 2025",Diss (GBR),50km,52.37675,1.1091,"South Norfolk District, Diss, Norfolk, England, United Kingdom",https://www.rawtrails.co.uk
10th St. Cuthbert's Way 100 Km Ultra,"Jul 19, 2025",Melrose (GBR),100km,42.45843,-71.06616,"Melrose, Massachusetts, United States of America",https://www.trailoutlaws.com/stc100
6th Nidderdale Way Ultra Loop & a Half,"Jul 19, 2025",Ripley (GBR),83mi,42.267,-79.7106,"Ripley, New York, United States of America",https://punkpanther.co.uk
Humanity Direct Chiltern Challenge,"Jul 19, 2025",Princes Risborough (GBR),31mi,51.72549,-0.83144,"Wycombe, Princes Risborough, Buckinghamshire, England, United Kingdom",https://www.ultrachallenge.com
15. Night52 - Ultralauf über die Kraichgauhügel,"Jul 19, 2025",Bretten (GER),52km,49.03685,8.70745,"Bretten, Baden-Württemberg, Germany",https://laufreport.de
14th Zagori Mountain Race - TeRA,"Jul 19, 2025",Ioannina (GRE),60km,39.66486,20.85189,"Ioánnina, Ioannina, Greece",https://zagorirace.gr
Memorial Ultra Scalve Trail,"Jul 19, 2025",Dezzo di Scalve (ITA),47km,45.97669,10.10252,"Dezzo di Scalve, Bergamo, Italy",https://www.ultrascalvetrail.it
13. Eiger Ultra Trail 101 km,"Jul 19, 2025",Grindelwald (SUI),101km,46.62396,8.03601,"Grindelwald, Interlaken-Oberhasli District, Switzerland",https://eigerultratrail.ch
13. Eiger Ultra Trail 51 km,"Jul 19, 2025",Grindelwald (SUI),51km,46.62396,8.03601,"Grindelwald, Interlaken-Oberhasli District, Switzerland",https://eigerultratrail.ch
37. Swissalpine Flims,"Jul 19, 2025",Flims (SUI),82km,46.83705,9.28458,"Flims, Imboden District, Switzerland",https://swissalpine.ch
5. Engadin Ultra Trail 53 km,"Jul 19, 2025",Zuoz (SUI),53.3km,46.60209,9.95885,"Zuoz, Maloja District, Switzerland",https://engadinultratrail.ch
Dragon 30mi Coastal Race,"Jul 20, 2025",Kenfig Reserve (GBR),30mi,30.05381,-90.55175,"Reserve, Louisiana, United States of America",https://www.legendsultra.com
Dragon 50mi Coastal Race,"Jul 20, 2025",Kenfig Reserve (GBR),50mi,30.05381,-90.55175,"Reserve, Louisiana, United States of America",https://www.legendsultra.com
10 Grossglockner ULTRA-Trail (GGUT 110),"Jul 25, 2025",Kaprun (AUT),110km,47.27239,12.75985,"Kaprun, Politischer Bezirk Zell am See, Austria",https://www.ultratrail.at
Lakeland 100 Mile,"Jul 25, 2025",Coniston (GBR),105mi,-34.45,150.88333,"Coniston, Wollongong, Australia",https://lakeland100.com
7th Kennet & Avon Canal Race 145 mile (KACR),"Jul 25, 2025",London (GBR),143mi,51.50853,-0.12574,"London, United Kingdom",https://canalrace.org.uk
4. TrailFestival 3Kings3Hills,"Jul 25, 2025",Haidmühle (GER),54km,48.82565,13.77649,"Haidmühle, Bavaria, Germany",https://www.trailfestival.eu
Osttirol Trail (OTT 80),"Jul 26, 2025",Enzinger Boden (AUT),84km,,,,https://www.osttirol-trail.at
Grossglockner Trail (GGT 55),"Jul 26, 2025",Kals (AUT),57km,47.0,12.65,"Kals, Tyrol, Austria",https://www.ultratrail.at
Railway Ultra 37mi,"Jul 26, 2025",Ironbridge (GBR),37mi,52.62795,-2.48465,"The Gorge, Ironbridge, Telford and Wrekin, England, United Kingdom",https://codrc.co.uk
5th Inferno - Edale's Ring of Hell 41mi,"Jul 26, 2025",Edale (GBR),41mi,53.36667,-1.81667,"High Peak District, Edale, Derbyshire, England, United Kingdom",https://beyondmarathon.com
Lakeland 50 Mile,"Jul 26, 2025",Dalemain (GBR),50mi,54.63433,-2.81143,"Dalemain, Eden District, Cumbria, England, United Kingdom",https://lakeland100.com
Beacons Way Ultra 63,"Jul 26, 2025",Llangynidr (GBR),62mi,51.8673,-3.22762,"Llangynidr, Powys, Wales, United Kingdom",https://www.uphilldowndale.com
Railway Ultra 28mi,"Jul 26, 2025",Ironbridge (GBR),28mi,52.62795,-2.48465,"The Gorge, Ironbridge, Telford and Wrekin, England, United Kingdom",https://codrc.co.uk
Ultra X Wales - 60km,"Jul 26, 2025",Fairbourne (GBR),62km,52.6968,-4.0561,"Arthog, Fairbourne, Gwynedd, Wales, United Kingdom",https://ultrax.co/wales
6th Beacons Way Ultra 100,"Jul 26, 2025",Abergavenny (GBR),100mi,51.82098,-3.01743,"Abergavenny, Monmouthshire, Wales, United Kingdom",https://www.uphilldowndale.com
Crazy Runners Frankenwald Trail,"Jul 26, 2025",Geroldsgrün (GER),53km,50.33333,11.6,"Geroldsgrün, Bavaria, Germany",https://www.frankenwaldtrail.de
Dublin Mountain Trail Festival 60km,"Jul 26, 2025",Dublin (IRL),60km,53.403601,-6.2172435,"Dublin, Ireland",https://www.dublinmountaintrailfestival.ie
Dublin Mountain Trail Festival 90km,"Jul 26, 2025",Dublin (IRL),90km,53.403601,-6.2172435,"Dublin, Ireland",https://www.dublinmountaintrailfestival.ie
11 Blefjells Beste,"Jul 26, 2025",Bestebu (NOR),57km,,,,https://www.blefjellsbeste.no
4. Davos X-Trails,"Jul 26, 2025",Davos (SUI),68km,46.80429,9.83723,"Davos, Prättigau/Davos District, Switzerland",https://davos-xtrails.ch
Ultra X Wales - 50km,"Jul 27, 2025",Fairbourne (GBR),47km,52.6968,-4.0561,"Arthog, Fairbourne, Gwynedd, Wales, United Kingdom",https://ultrax.co/wales
5. Lázbérci Sri Chinmoy Futófesztivál 50k,"Jul 27, 2025",Uppony (HUN),50km,48.21667,20.43333,"Uppony, Borsod-Abaúj-Zemplén, Hungary",https://hu.srichinmoyraces.org
Pitz Alpine Glacier Trail P90,"Aug 01, 2025",Mandarfen (AUT),87km,46.96667,10.86667,"Mandarfen, Politischer Bezirk Imst, Austria",https://pitz-alpine.at
Pitz Alpine Glacier Trail P105,"Aug 01, 2025",Mandarfen (AUT),103km,46.96667,10.86667,"Mandarfen, Politischer Bezirk Imst, Austria",https://pitz-alpine.at
Pitz Alpine Glacier Trail P60,"Aug 01, 2025",Mandarfen (AUT),63km,46.96667,10.86667,"Mandarfen, Politischer Bezirk Imst, Austria",https://pitz-alpine.at
4th Isaac's Tea Trail Ultra,"Aug 02, 2025",Allendale (GBR),37mi,42.97225,-85.95365,"Allendale, Michigan, United States of America",https://www.nav4.co.uk
The Eddum,"Aug 02, 2025",Pentre Dolau Honddu (GBR),50mi,,,,https://www.rocketres.co.uk/the-eddum
17. Ottonenlauf - Marathon 45 Km,"Aug 02, 2025",Alexisbad (GER),45km,51.65006,11.11648,"Alexisbad, Saxony-Anhalt, Germany",https://www.ott-lauf.de
5. GEO-Pfad Ultramarathon,"Aug 02, 2025",Langenhagen (GER),50km,52.44758,9.73741,"Langenhagen, Lower Saxony, Germany",https://geopfad-ultra.de
17. Ottonenlauf - Supermarathon 69 km,"Aug 02, 2025",Stiege (GER),69km,51.66517,10.88322,"Stiege, Saxony-Anhalt, Germany",https://www.ott-lauf.de
6. Holter Wald Ultra (HWU),"Aug 02, 2025",Schloß Holte-Stukenbrock (GER),45km,51.9,8.61667,"Kreis Gütersloh, North Rhine-Westphalia, Germany",https://www.laufen-in-schloss-holte.de
11th Deseda Ultramaraton,"Aug 02, 2025",Kaposvár (HUN),252km,46.36667,17.8,"Kaposvár, Somogy megye, Hungary",https://desedaultramarathon.hu
Nordschwarzwald Trophy,"Aug 03, 2025",Schömberg (GER),47km,48.78713,8.64495,"Schömberg, Baden-Württemberg, Germany",https://www.nordschwarzwald-trophy.de
6. KAT100 - 100 Miles,"Aug 07, 2025",Fieberbrunn (AUT),173km,47.48333,12.55,"Fieberbrunn, Politischer Bezirk Kitzbühel, Austria",https://www.kat100.at
6. KAT100 - Endurance Trail,"Aug 08, 2025",Kitzbühel (AUT),81km,47.44637,12.39215,"Kitzbühel, Politischer Bezirk Kitzbühel, Austria",https://www.kat100.at
Stranda Fjord Trail Race - 48km,"Aug 08, 2025",Opshaug (NOR),48km,,,,https://www.strandafjordtrailrace.com
8. Swissalps 100 - 100mi,"Aug 08, 2025",Fiesch VS (SUI),160km,46.40039,8.1311,"Fiesch, Goms District, Switzerland",https://swissalps100.com
15. Trans Scania,"Aug 08, 2025",Lund (SWE),246km,55.70584,13.19321,"Lund, Lunds Kommun, Sweden",https://www.fktscania.se
6. KAT100 - Marathon Trail,"Aug 09, 2025",Fieberbrunn (AUT),51km,47.48333,12.55,"Fieberbrunn, Politischer Bezirk Kitzbühel, Austria",https://www.kat100.at
2ème Trophée de l'Océan Indien,"Aug 09, 2025","Le Tampon, La Réunion (FRA)",58km,,,,https://www.trophee-oceanindien.re
15th North Downs Way 100 Mile Race,"Aug 09, 2025",Farnham (GBR),103mi,51.21433,-0.79587,"Waverley District, Farnham, Surrey, England, United Kingdom",https://www.centurionrunning.com
Big Day out - The Crossing,"Aug 09, 2025",Belstone (GBR),33.5mi,50.7252,-3.95794,"West Devon District, Belstone, Devon, England, United Kingdom",https://bigdayout.run
Race Across Scotland 215 Mile,"Aug 09, 2025",Portpatrick (GBR),215mi,54.84143,-5.11705,"Portpatrick, Dumfries and Galloway, Scotland, United Kingdom",https://www.beyondmarathon.com
Run Sandringham 24,"Aug 09, 2025",Kings Lynn (GBR),24h,52.75172,0.39516,"King's Lynn and West Norfolk District, Kings Lynn, Norfolk, England, United Kingdom",https://runsandringham.co.uk
12. Berliner Vollmond-Ultra-Marathon,"Aug 09, 2025",Berlin (GER),46km,52.52437,13.41053,"Berlin, Germany",https://berlin-laeuft.de
Ultramarsch Dresden / Sächsische Schweiz 100km,"Aug 09, 2025",Pillnitz (GER),100km,51.0073,13.87565,"Pillnitz, Saxony, Germany",https://www.ultramarsch.de
Ultramarsch Dresden / Sächsische Schweiz 60km,"Aug 09, 2025",Pillnitz (GER),60km,51.0073,13.87565,"Pillnitz, Saxony, Germany",https://www.ultramarsch.de
Valgrosina Trail,"Aug 09, 2025",Grosio (So) (ITA),70km,46.2997,10.27572,"Grosio, Sondrio, Italy",https://valgrosinatrail.it
8. Swissalps 100 - 50km,"Aug 09, 2025",Fiesch VS (SUI),50km,46.40039,8.1311,"Fiesch, Goms District, Switzerland",https://swissalps100.com
8. Swissalps 100 - 100km,"Aug 09, 2025",Fiesch VS (SUI),100km,46.40039,8.1311,"Fiesch, Goms District, Switzerland",https://swissalps100.com
4. Monschau-Ultra Marathon K70,"Aug 10, 2025",Monschau / Konzen (GER),70km,,,,https://www.monschau-marathon.de
12. Monschau-Ultra Marathon,"Aug 10, 2025",Monschau/Konzen (GER),56km,,,,https://www.monschau-marathon.de
16. Allgäu Panorama Ultra Trail,"Aug 10, 2025",Sonthofen (GER),69km,47.51821,10.28262,"Sonthofen, Bavaria, Germany",https://www.allgaeu-panorama-marathon.de
Old Bakony Trail,"Aug 10, 2025",Csehbánya (HUN),51km,47.18205,17.68365,"Csehbánya, Veszprém megye, Hungary",https://bakonytrails.hu
5ème la PicAriège,"Aug 15, 2025",Auzat (FRA),68.4km,42.76509,1.48102,"Auzat, Ariège, France",https://www.picapica.fr
la PICaPICA,"Aug 15, 2025",Auzat (FRA),110km,42.76509,1.48102,"Auzat, Ariège, France",https://www.picapica.fr
Roseland August Trail – Boyd Rat,"Aug 15, 2025",Porthpean (GBR),24h,,,,https://mudcrew.co.uk/rat
12th The Grand Tour of Skiddaw,"Aug 16, 2025",Caldbeck (GBR),50km,54.7486,-3.05111,"Allerdale District, Caldbeck, Cumbria, England, United Kingdom",https://www.nav4.co.uk
Roseland August Trail – Black Rat,"Aug 16, 2025",Porthpean (GBR),32mi,,,,https://mudcrew.co.uk/rat
4th Six Dales Ultra 32mi,"Aug 16, 2025",Otley (GBR),32mi,41.45888,-93.03576,"Otley, Iowa, United States of America",https://www.sixdalesultra.co.uk
Speyside Way Ultra 100km,"Aug 16, 2025",Aviemore (GBR),100km,57.19553,-3.8259,"Aviemore, Highland, Scotland, United Kingdom",https://www.speysidewayultra.com
Foxton Hound Ultra 50k,"Aug 16, 2025",Market Harborough (GBR),50km,52.4776,-0.92053,"Harborough District, Market Harborough, Leicestershire, England, United Kingdom",https://www.foxultra.co.uk
Beast of Llangattock 32 Mile,"Aug 16, 2025",Llangattock (GBR),32mi,51.85184,-3.14778,"Llangattock, Powys, Wales, United Kingdom",https://www.wildhorse.run
Roseland August Trail – Plague Rat,"Aug 16, 2025",Porthpean (GBR),64mi,,,,https://mudcrew.co.uk/rat
4th Six Dales Ultra 50mi,"Aug 16, 2025",Otley (GBR),50mi,41.45888,-93.03576,"Otley, Iowa, United States of America",https://www.sixdalesultra.co.uk
Speyside Way Ultra 50km,"Aug 16, 2025",Aberlour (GBR),50km,57.47076,-3.22509,"Aberlour, Moray, Scotland, United Kingdom",https://www.speysidewayultra.com
Foxton Hound Ultra 100k,"Aug 16, 2025",Market Harborough (GBR),104km,52.4776,-0.92053,"Harborough District, Market Harborough, Leicestershire, England, United Kingdom",https://www.foxultra.co.uk
41. Josef-Kaderhandt Waldlauf,"Aug 16, 2025",Menden (GER),50km,51.44337,7.77825,"Menden, North Rhine-Westphalia, Germany",https://www.tv-menden.de
6. 6 Stunden Lauf Wiesbaden,"Aug 16, 2025",Wiesbaden (GER),6h,50.08258,8.24932,"Wiesbaden, Hesse, Germany",https://lauf-weiter.de
14 Ultra trail du Barlatay,"Aug 16, 2025",L'Etivaz (SUI),75km,46.41667,7.15,"L'Etivaz, Riviera-Pays-d'Enhaut District, Switzerland",https://www.trailbarlatay.ch
14ème Trail du Barlatay,"Aug 16, 2025",L'Etivaz (SUI),50km,46.41667,7.15,"L'Etivaz, Riviera-Pays-d'Enhaut District, Switzerland",https://www.trailbarlatay.ch
11th Ultravasan90,"Aug 16, 2025",Sälen (SWE),92km,61.15,13.26667,"Sälen, Malung-Sälens kommun, Sweden",https://www.vasaloppet.se
7. HuBuT Hunsbuckel Trail,"Aug 17, 2025",Laubach (GER),47km,50.54196,8.99034,"Laubach, Hesse, Germany",https://hubut.de
Grand Raid des Pyrénées - Tour du Bastan,"Aug 21, 2025",Pla d'Adet (FRA),51km,,,,https://grandraidpyrenees.com
Grand Raid des Pyrénées - Tour du Moudang,"Aug 21, 2025",Vielle-Aure (FRA),63km,42.83001,0.32653,"Vielle-Aure, Hautes-Pyrénées, France",https://grandraidpyrenees.com
13ème L'Échappée Belle - L'Intégrale 152km,"Aug 22, 2025",Vizille (FRA),152km,45.07819,5.77074,"Vizille, Isère, France",https://www.lechappeebelledonne.com
Grand Raid des Pyrénées - Ultra Tour 160,"Aug 22, 2025",Vielle-Aure (FRA),165km,42.83001,0.32653,"Vielle-Aure, Hautes-Pyrénées, France",https://grandraidpyrenees.com
Grand Raid des Pyrénées - Tour des Cirques,"Aug 22, 2025",Piau-Engaly (FRA),124km,42.78545,0.15904,"Piau Engaly, Hautes-Pyrénées, France",https://grandraidpyrenees.com
10ème L'Échappée Belle - Parcours des Crêtes 63km,"Aug 23, 2025",Allevard (FRA),63km,45.39449,6.07519,"Allevard, Isère, France",https://www.lechappeebelledonne.com
Grand Raid des Pyrénées - Tour des Lacs,"Aug 23, 2025",Vielle-Aure (FRA),82km,42.83001,0.32653,"Vielle-Aure, Hautes-Pyrénées, France",https://grandraidpyrenees.com
11ème L'Échappée Belle - Traversée Nord 92km,"Aug 23, 2025",Le Haut-Bréda (FRA),92km,,,https://www.lechappeebelledonne.com
Summer Green Man Ultra 45,"Aug 23, 2025",Bristol (GBR),45mi,51.45523,-2.59665,"Bristol, England, United Kingdom",https://ultrarunningltd.co.uk
9th Dunoon Ultra,"Aug 23, 2025",Dunoon (GBR),48km,55.94698,-4.92303,"Dunoon, Argyll and Bute, Scotland, United Kingdom",https://www.dunoonultra.com
Summer Green Man Ultra 30,"Aug 23, 2025",Keynsham (GBR),29mi,51.41387,-2.4978,"Keynsham, Bath and North East Somerset, England, United Kingdom",https://ultrarunningltd.co.uk
Seven Summits Siegen,"Aug 23, 2025",Siegen (GER),50km,50.87481,8.02431,"Siegen, North Rhine-Westphalia, Germany",https://7summits-siegen.de
Ahornweg Ultra,"Aug 23, 2025",Dissen (GER),67km,52.11591,8.19956,"Dissen, Lower Saxony, Germany",https://www.ahornweg-ultra.de
Triglav Trail Race,"Aug 23, 2025",Mojstrana (SLO),78km,46.42383,13.8752,"Mojstrana, Kranjska Gora, Slovenia",https://triglavtrail.com
RunThrough Trails Engelberg 100km,"Aug 23, 2025",Engelberg (SUI),101km,46.82107,8.40133,"Engelberg, Obwalden, Switzerland",https://runthroughtrails.com
13. Matterhorn Ultraks,"Aug 23, 2025",Zermatt (SUI),49km,46.02126,7.74912,"Zermatt, Visp District, Switzerland",https://www.ultraks.com
Trail des Moulins,"Aug 24, 2025",Mauges-sur-Loire (FRA),60km,45.47169,4.43298,"Loire, France",https://www.traildesmoulins.fr
14. RAG-Hartfüßler-Trail 58 km,"Aug 24, 2025",Saarbrücken (GER),58km,49.2354,6.98165,"Saarbrücken, Saarland, Germany",https://www.hartfuesslertrail.de
RunThrough Trails Engelberg 56km,"Aug 24, 2025",Engelberg (SUI),56km,46.82107,8.40133,"Engelberg, Obwalden, Switzerland",https://runthroughtrails.com
10ème Orsières-Champex-Chamonix (OCC),"Aug 28, 2025",Orsières (SUI),55km,46.02903,7.14437,"Orsières, Entremont District, Switzerland",https://utmb.world
22ème Ultra Trail Tour du Mont Blanc (UTMB),"Aug 29, 2025",Chamonix (FRA),171km,45.92375,6.86933,"Chamonix, Haute-Savoie, France",https://utmb.world
13th Ring O' Fire - 130 Mile Coastal Ultra,"Aug 29, 2025",Holyhead (GBR),130mi,53.30621,-4.63211,"Holyhead, Anglesey, Wales, United Kingdom",https://www.ringofire.co.uk
8th Firelighter 47 Mile Coastal Ultra Marathon,"Aug 29, 2025",Holyhead (GBR),47mi,53.30621,-4.63211,"Holyhead, Anglesey, Wales, United Kingdom",https://www.ringofire.co.uk
2 ABUS Trail 24,"Aug 29, 2025",Gummersbach (GER),24h,51.02608,7.56473,"Gummersbach, North Rhine-Westphalia, Germany",https://www.abus.de
19ème Courmayeur-Champex-Chamonix (CCC),"Aug 29, 2025",Courmayeur (ITA),100km,45.79659,6.96893,"Courmayeur, Valle d'Aosta, Italy",https://utmb.world
16. Karwendellauf 52 km Scharnitz-Pertisau,"Aug 30, 2025",Scharnitz (AUT),52km,47.38899,11.26455,"Scharnitz, Politischer Bezirk Innsbruck Land, Austria",https://www.karwendellauf.at
6. Mountainman Großarltal,"Aug 30, 2025",Großarl (AUT),50km,47.23334,13.21542,"Großarl, St. Johann im Pongau District, Austria",https://www.mountainman-series.com
Mountainman Großarltal 68km,"Aug 30, 2025",Großarl (AUT),68km,47.23334,13.21542,"Großarl, St. Johann im Pongau District, Austria",https://www.mountainman-series.com
28ème CimaSaRun,"Aug 30, 2025","Cilaos, La Réunion (FRA)",54km,,,,https://www.cimasarun.re
Dig Deep Trail Ultra 30,"Aug 30, 2025",Sheffield (GBR),30mi,53.38297,-1.4659,"Sheffield, England, United Kingdom",https://www.digdeeptrail.co.uk
Drovers Ultra 33mi,"Aug 30, 2025",Crieff (GBR),33mi,56.37268,-3.83891,"Crieff, Perth and Kinross, Scotland, United Kingdom",https://www.runecosse.scot
Dig Deep Trail Ultra 50,"Aug 30, 2025",Sheffield (GBR),50mi,53.38297,-1.4659,"Sheffield, England, United Kingdom",https://www.digdeeptrail.co.uk
Ultramarsch Südheide 120km,"Aug 30, 2025",Unterlüß (GER),120km,52.83471,10.29685,"Unterlüß, Lower Saxony, Germany",https://www.ultramarsch.de
Ultramarsch Südheide 75km,"Aug 30, 2025",Unterlüß (GER),75km,52.83471,10.29685,"Unterlüß, Lower Saxony, Germany",https://www.ultramarsch.de
13. Panoramalauf rund um die Burg Are,"Aug 30, 2025",Altenahr (GER),54km,50.51694,6.99206,"Altenahr, Rheinland-Pfalz, Germany",https://panoramalauf-altenahr.de
Mayrhofen Ultraks Zillertal - Z101,"Sep 05, 2025",Mayrhofen (AUT),101km,47.16667,11.86667,"Mayrhofen, Politischer Bezirk Schwaz, Austria",https://mayrhofenultraks.com
Mayrhofen Ultraks Zillertal - TUX070,"Sep 06, 2025",Mayrhofen (AUT),70km,47.16667,11.86667,"Mayrhofen, Politischer Bezirk Schwaz, Austria",https://mayrhofenultraks.com
Adidas Terrex Infinite Trails 60K Individual,"Sep 06, 2025",Bad Hofgastein (AUT),62km,47.17274,13.09871,"Bad Hofgastein, St. Johann im Pongau District, Austria",https://infinitetrails-worldchampionships.com
Mayrhofen Ultraks Zillertal - RK 50,"Sep 06, 2025",Mayrhofen (AUT),50km,47.16667,11.86667,"Mayrhofen, Politischer Bezirk Schwaz, Austria",https://mayrhofenultraks.com
